"State","FIPS","Name","TotalVotes","Obama","Romney"
"CO",8005,"Arapahoe",254746,135433,114232
"CO",8003,"Alamosa",6671,3782,2693
"CO",8001,"Adams",161495,90843,66531
"CA",6115,"Yuba",15009,5817,8746
"CA",6113,"Yolo",59613,38856,19080
"CA",6111,"Ventura",267907,138119,123919
"CA",6109,"Tuolumne",23730,9628,13410
"CA",6107,"Tulare",72832,29191,42186
"CA",6105,"Trinity",5030,2367,2422
"CA",6103,"Tehama",17356,6032,10791
"CA",6101,"Sutter",20988,8004,12576
"CA",6099,"Stanislaus",143620,70609,69549
"CA",6097,"Sonoma",175738,124504,45666
"CA",6095,"Solano",138565,87225,48364
"CA",6093,"Siskiyou",17505,7110,9844
"CA",6091,"Sierra",1779,652,1056
"CA",6089,"Shasta",54121,18184,34561
"CA",6087,"Santa Cruz",81294,61106,17132
"CA",6085,"Santa Clara",491687,343239,136347
"CA",6083,"Santa Barbara",147249,84279,59096
"CA",6081,"San Mateo",211814,151036,56244
"CA",6079,"San Luis Obispo",117597,57655,56500
"CA",6077,"San Joaquin",149587,80005,66742
"CA",6075,"San Francisco",321023,267857,42654
"CA",6073,"San Diego",928256,478386,431046
"CA",6071,"San Bernardino",531692,274203,245468
"CA",6069,"San Benito",14972,8617,6052
"CA",6067,"Sacramento",388090,221063,157688
"CA",6065,"Riverside",589721,287754,290227
"CA",6063,"Plumas",9128,3670,5240
"CA",6061,"Placer",126325,49126,74460
"CA",6059,"Orange",1021315,457077,541592
"CA",6057,"Nevada",30864,14261,15696
"CA",6055,"Napa",32332,19964,11647
"CA",6053,"Monterey",78522,51712,25087
"CA",6051,"Mono",4917,2574,2202
"CA",6049,"Modoc",3986,1113,2779
"CA",6047,"Merced",50538,26128,23403
"CA",6045,"Mendocino",17928,11869,5129
"CA",6043,"Mariposa",7805,3080,4434
"CA",6041,"Marin",99286,73450,23347
"CA",6039,"Madera",32372,12698,18990
"CA",6037,"Los Angeles",2427869,1672164,699600
"CA",6035,"Lassen",10603,3044,7261
"CA",6033,"Lake",16274,9159,6474
"CA",6031,"Kings",30139,12282,17184
"CA",6029,"Kern",168116,64690,99840
"CA",6027,"Inyo",6501,2775,3541
"CA",6025,"Imperial",27453,17464,9545
"CA",6023,"Humboldt",46269,27757,15653
"CA",6021,"Glenn",9142,3276,5608
"CA",6019,"Fresno",180244,85862,91143
"CA",6017,"El Dorado",85923,34033,49661
"CA",6015,"Del Norte",7940,3396,4256
"CA",6013,"Contra Costa",351257,230826,112547
"CA",6011,"Colusa",5865,2248,3521
"CA",6009,"Calaveras",18469,7404,10537
"CA",6007,"Butte",70163,32567,35312
"CA",6005,"Amador",15303,6001,8903
"CA",6003,"Alpine",647,389,236
"CA",6001,"Alameda",558386,438091,104330
"AR",5149,"Yell",5971,1720,4041
"AR",5147,"Woodruff",2685,1340,1227
"AR",5145,"White",26508,5765,20005
"AR",5143,"Washington",70231,28136,39570
"AR",5141,"Van Buren",6421,1826,4362
"AR",5139,"Union",17160,6182,10696
"AR",5137,"Stone",5351,1356,3773
"AR",5135,"Sharp",7282,2092,4920
"AR",5133,"Sevier",4328,1042,3135
"AR",5131,"Sebastian",43340,13083,29158
"AR",5129,"Searcy",3694,814,2699
"AR",5127,"Scott",3637,895,2630
"AR",5125,"Saline",47059,12868,32962
"AR",5123,"Saint Francis",8021,4652,3287
"AR",5121,"Randolph",5948,2040,3699
"AR",5119,"Pulaski",159055,87055,68856
"AR",5117,"Prairie",3134,877,2149
"AR",5115,"Pope",20390,5108,14733
"AR",5113,"Polk",7721,1556,5950
"AR",5111,"Poinsett",7550,2387,4967
"AR",5109,"Pike",3787,850,2847
"AR",5107,"Phillips",7900,5179,2591
"AR",5105,"Perry",3937,1187,2580
"AR",5103,"Ouachita",10303,4626,5516
"AR",5101,"Newton",3661,993,2508
"AR",5099,"Nevada",3384,1314,1996
"AR",5097,"Montgomery",3403,920,2368
"AR",5095,"Monroe",3230,1583,1585
"AR",5093,"Mississippi",13349,6445,6599
"AR",5091,"Miller",15329,4518,10622
"AR",5089,"Marion",7029,2024,4771
"AR",5087,"Madison",6567,2099,4262
"AR",5085,"Lonoke",24083,5612,17863
"AR",5083,"Logan",7330,2009,5078
"AR",5081,"Little River",5051,1552,3385
"AR",5079,"Lincoln",3725,1424,2199
"AR",5077,"Lee",3424,2107,1280
"AR",5075,"Lawrence",5537,1786,3535
"AR",5073,"Lafayette",2928,1173,1712
"AR",5071,"Johnson",8064,2785,5045
"AR",5069,"Jefferson",27364,17456,9515
"AR",5067,"Jackson",5338,2093,3065
"AR",5065,"Izard",5313,1563,3571
"AR",5063,"Independence",12390,3279,8724
"AR",5061,"Howard",4419,1460,2862
"AR",5059,"Hot Spring",11239,3824,7087
"AR",5057,"Hempstead",6919,2466,4284
"AR",5055,"Greene",13754,3998,9066
"AR",5053,"Grant",6478,1467,4829
"AR",5051,"Garland",39241,13317,25031
"AR",5049,"Fulton",4522,1452,2949
"AR",5047,"Franklin",6539,1725,4631
"AR",5045,"Faulkner",41322,13559,26653
"AR",5043,"Drew",6626,2627,3883
"AR",5041,"Desha",4240,2353,1807
"AR",5039,"Dallas",3083,1337,1664
"AR",5037,"Cross",6680,2279,4268
